customer_id,country,education,gender,member_card,total_children,Recency,Frequency,Monetary
177,USA,Partial High School,M,Normal,0,105,4,82.45
178,USA,Partial College,M,Bronze,1,105,8,161.63
179,USA,Graduate Degree,M,Golden,1,16,2,87.91
180,USA,Bachelors Degree,F,Bronze,4,205,3,47.13
181,USA,High School Degree,F,Bronze,1,47,9,249.4
182,USA,Graduate Degree,F,Bronze,1,115,4,113
186,USA,Partial High School,F,Bronze,3,37,2,29.55
187,USA,Partial High School,M,Normal,0,37,8,211.32
188,USA,High School Degree,F,Golden,4,37,7,173.01
190,USA,Partial College,F,Bronze,1,14,6,222.16
191,USA,Partial College,F,Normal,4,28,3,85.54
192,USA,Bachelors Degree,F,Bronze,4,6,13,339.9
193,USA,Partial College,M,Bronze,0,115,2,41.3
196,USA,Partial High School,M,Normal,2,91,1,7.95
197,USA,High School Degree,F,Normal,1,25,3,49.75
198,USA,Partial High School,F,Normal,1,100,2,78.88
200,USA,Partial College,F,Bronze,5,139,1,13.08
206,USA,Bachelors Degree,F,Bronze,3,156,3,30.68
207,USA,Graduate Degree,M,Bronze,2,349,1,21.66
208,USA,Partial College,F,Golden,2,32,7,187.35
213,USA,High School Degree,F,Bronze,3,150,3,84.57
215,USA,Partial College,M,Bronze,5,173,1,24.58
216,USA,High School Degree,F,Bronze,2,83,6,174.64
217,USA,Partial College,M,Bronze,5,14,5,159.36
219,USA,High School Degree,M,Bronze,2,162,3,88.27
220,USA,Bachelors Degree,F,Bronze,2,139,2,19.86
221,USA,Partial College,F,Bronze,2,9,3,66.88
222,USA,High School Degree,F,Bronze,0,133,1,14.04
226,USA,Graduate Degree,F,Bronze,2,77,5,162.63
228,USA,High School Degree,F,Normal,3,5,1,54.13
229,USA,Graduate Degree,F,Bronze,1,27,3,80.02
230,USA,Partial High School,M,Normal,2,18,2,51.67
234,USA,Partial High School,M,Normal,3,195,2,79.13
235,USA,Bachelors Degree,M,Silver,2,83,2,59.74
236,USA,Partial High School,M,Normal,1,308,1,40.5
238,USA,Partial High School,F,Normal,1,262,1,14.29
240,USA,Partial High School,M,Bronze,2,115,5,140.73
250,USA,High School Degree,M,Normal,1,10,2,25.45
251,USA,High School Degree,F,Bronze,3,263,1,14.96
252,USA,High School Degree,M,Bronze,1,21,3,77.91
255,USA,High School Degree,M,Bronze,2,71,6,116.14
260,USA,Bachelors Degree,M,Golden,5,78,6,228.59
261,USA,Partial High School,M,Bronze,4,138,3,125.97
265,USA,Partial High School,F,Normal,4,47,4,117.7
267,USA,Graduate Degree,F,Bronze,3,237,1,24.43
268,USA,High School Degree,M,Bronze,0,16,2,71.54
269,USA,Partial High School,F,Normal,2,209,1,6.28
273,USA,High School Degree,F,Bronze,1,310,1,17.51
274,USA,High School Degree,M,Golden,4,10,5,137.26
275,USA,High School Degree,F,Bronze,2,186,1,27.1
276,USA,Bachelors Degree,M,Bronze,3,58,2,30.18
277,USA,Bachelors Degree,M,Bronze,2,51,2,27.1
278,USA,Partial High School,F,Normal,0,16,2,56.51
280,USA,High School Degree,F,Silver,1,78,7,205.95
281,USA,Bachelors Degree,F,Bronze,0,28,2,33.96
282,USA,Bachelors Degree,F,Silver,3,231,2,43.2
283,USA,Partial College,M,Bronze,3,346,1,5.38
285,USA,Partial College,F,Golden,3,31,5,117.41
287,USA,Bachelors Degree,F,Golden,0,147,3,37.21
288,USA,High School Degree,F,Normal,3,86,2,76.29
289,USA,High School Degree,F,Bronze,3,318,1,17.32
290,USA,High School Degree,M,Bronze,4,225,1,16.75
293,USA,High School Degree,M,Golden,4,12,6,140.15
294,USA,High School Degree,F,Bronze,0,110,2,116.51
295,USA,Partial College,M,Silver,3,40,1,9.92
296,USA,Partial High School,F,Golden,5,78,3,112.42
302,USA,Partial High School,F,Bronze,1,158,3,41.41
304,USA,Bachelors Degree,M,Normal,1,32,6,117.26
308,USA,High School Degree,F,Bronze,4,232,1,14.33
311,USA,High School Degree,M,Bronze,3,16,4,138.27
312,USA,Partial High School,M,Bronze,3,245,1,25.66
314,USA,Partial High School,F,Bronze,3,219,2,56.29
317,USA,High School Degree,M,Golden,0,58,3,76.43
319,USA,Bachelors Degree,F,Bronze,0,179,2,52.73
323,USA,Partial College,F,Golden,4,194,2,47.15
325,USA,High School Degree,F,Normal,2,331,2,23.58
326,USA,Partial High School,F,Bronze,2,18,2,11.99
328,USA,Bachelors Degree,M,Bronze,3,113,5,184.5
329,USA,Partial College,F,Bronze,2,142,2,83.75
335,USA,High School Degree,F,Bronze,5,10,10,187.32
336,USA,Partial High School,M,Silver,3,203,2,94.68
338,USA,Partial High School,M,Normal,3,248,1,18.26
341,USA,Partial High School,M,Bronze,1,41,4,143.19
342,USA,High School Degree,F,Golden,3,89,2,15.72
346,USA,High School Degree,M,Silver,0,4,7,186.04
348,USA,High School Degree,M,Bronze,0,55,1,18.32
350,USA,Bachelors Degree,F,Silver,2,3,4,92.14
352,USA,High School Degree,F,Normal,1,10,4,110.95
354,USA,Partial High School,F,Golden,2,15,7,249.88
355,USA,Partial High School,F,Normal,1,34,6,124.04
360,USA,Partial High School,M,Bronze,4,47,4,82.83
361,USA,Bachelors Degree,F,Bronze,0,16,4,75.53
363,USA,Partial College,F,Bronze,4,186,2,86.85
364,USA,Partial High School,F,Silver,4,321,1,5.56
369,USA,Partial High School,F,Bronze,1,30,4,72.48
372,USA,Partial High School,M,Bronze,1,83,1,19.17
373,USA,Partial High School,F,Normal,2,32,6,148.81
374,USA,Partial College,F,Bronze,4,9,1,25.77
376,USA,Bachelors Degree,M,Normal,2,35,3,80.86
377,USA,High School Degree,F,Bronze,2,22,5,140.91
378,USA,Partial College,M,Silver,1,70,23,612.44
380,USA,Partial High School,M,Normal,2,2,2,11.1
381,USA,Partial High School,F,Bronze,4,28,1,3.58
383,USA,High School Degree,M,Bronze,3,114,1,13.56
387,USA,High School Degree,M,Bronze,2,144,2,39.04
388,USA,Bachelors Degree,F,Bronze,4,12,1,6.81
391,USA,Bachelors Degree,M,Bronze,4,55,5,177.76
392,USA,Partial College,F,Bronze,0,46,8,214.03
394,USA,High School Degree,M,Bronze,2,266,1,10.85
395,USA,Bachelors Degree,F,Golden,4,292,1,55.29
398,USA,Partial High School,M,Normal,0,10,7,171.96
399,USA,Bachelors Degree,M,Bronze,3,113,1,36.5
400,USA,Bachelors Degree,F,Bronze,1,18,8,239.09
404,USA,Bachelors Degree,M,Bronze,4,74,4,68.62
405,USA,High School Degree,F,Bronze,3,52,4,117.42
406,USA,Partial High School,M,Normal,1,230,3,72.62
407,USA,Bachelors Degree,M,Normal,0,35,2,58.78
408,USA,Bachelors Degree,F,Golden,3,347,1,27.62
409,USA,Partial High School,M,Normal,0,74,3,68.55
411,USA,High School Degree,M,Normal,1,16,2,44.25
413,USA,Partial High School,F,Golden,1,282,1,8.47
417,USA,High School Degree,F,Bronze,1,12,4,95.69
419,USA,Bachelors Degree,F,Silver,4,14,1,2.72
420,USA,Bachelors Degree,F,Bronze,3,12,5,64.14
422,USA,Partial High School,M,Bronze,2,72,3,76.74
424,USA,Graduate Degree,F,Normal,2,115,4,137.96
426,USA,Bachelors Degree,M,Silver,4,45,3,58.72
429,USA,Bachelors Degree,M,Bronze,2,114,1,17.07
430,USA,Partial High School,M,Bronze,3,6,16,375.89
432,USA,Partial High School,F,Golden,4,26,3,87.55
435,USA,Partial High School,F,Golden,3,52,4,118.32
436,USA,Bachelors Degree,M,Bronze,1,74,4,55.16
439,USA,Partial College,M,Silver,3,32,7,202.98
440,USA,High School Degree,F,Bronze,5,179,2,42.27
446,USA,High School Degree,F,Bronze,2,72,9,175.1
447,USA,Bachelors Degree,M,Normal,1,31,2,74.95
448,USA,High School Degree,M,Bronze,1,25,12,341.19
453,USA,Partial High School,F,Bronze,3,48,2,59.61
454,USA,Partial College,M,Bronze,3,40,10,288.81
456,USA,Graduate Degree,M,Bronze,2,66,3,107.57
457,USA,High School Degree,F,Bronze,0,3,2,39.05
461,USA,Partial High School,M,Normal,4,10,7,178.86
463,USA,Partial High School,M,Normal,3,45,6,171.32
464,USA,Graduate Degree,M,Bronze,3,60,2,116.19
465,USA,High School Degree,M,Bronze,3,4,6,268.33
466,USA,High School Degree,M,Golden,4,60,3,81.02
467,USA,Partial High School,F,Normal,1,78,8,234.83
471,USA,High School Degree,F,Normal,3,116,3,61.02
472,USA,High School Degree,F,Bronze,0,102,8,156.49
473,USA,High School Degree,F,Bronze,3,77,1,1.2
475,USA,High School Degree,M,Golden,2,55,2,72.45
476,USA,Bachelors Degree,F,Bronze,1,269,2,55.17
477,USA,High School Degree,F,Bronze,2,96,4,103.82
478,USA,Bachelors Degree,F,Bronze,5,21,2,38.97
479,USA,Bachelors Degree,F,Bronze,1,238,3,75.69
481,USA,High School Degree,M,Bronze,2,47,4,140.98
482,USA,High School Degree,M,Bronze,4,21,1,32.81
484,USA,High School Degree,F,Silver,3,146,6,237.65
485,USA,Partial College,F,Bronze,0,26,3,98.42
487,USA,High School Degree,F,Golden,4,60,4,118.69
488,USA,Bachelors Degree,M,Bronze,1,76,1,13.81
490,USA,High School Degree,F,Bronze,3,231,4,112.23
492,USA,Partial College,M,Bronze,1,157,2,19.16
493,USA,Bachelors Degree,M,Golden,5,179,3,109.12
495,USA,Bachelors Degree,M,Bronze,0,49,1,26.93
499,USA,Bachelors Degree,M,Silver,1,89,4,101.5
500,USA,High School Degree,F,Normal,4,12,2,15.73
501,USA,Partial College,F,Bronze,1,174,2,79.5
502,USA,High School Degree,F,Bronze,3,205,3,100.75
504,USA,Partial High School,F,Normal,4,14,7,209.98
505,USA,High School Degree,F,Golden,4,54,3,107.37
508,USA,Graduate Degree,F,Bronze,3,359,1,3.76
511,USA,High School Degree,F,Normal,4,6,15,408.59
512,USA,Partial High School,F,Golden,4,319,1,42.2
514,USA,Partial College,F,Bronze,5,73,1,15.58
517,USA,Bachelors Degree,M,Bronze,4,61,2,45.4
521,USA,High School Degree,M,Silver,1,212,1,36.3
523,USA,Partial High School,M,Golden,5,55,2,54.81
524,USA,Partial High School,F,Normal,2,41,3,21.35
527,USA,Partial High School,F,Normal,4,52,7,157.78
529,USA,Partial High School,M,Bronze,4,231,1,53.93
530,USA,Bachelors Degree,F,Bronze,1,37,3,102.25
532,USA,High School Degree,M,Normal,0,14,9,202.18
533,USA,Bachelors Degree,M,Bronze,1,49,1,48.86
538,USA,Partial College,M,Bronze,5,121,3,103.95
541,USA,Bachelors Degree,M,Bronze,0,152,3,74.32
543,USA,Partial High School,M,Normal,3,14,8,150.27
544,USA,Partial College,F,Bronze,3,181,1,29.25
545,USA,Graduate Degree,F,Bronze,3,37,9,204.07
547,USA,Bachelors Degree,M,Bronze,0,110,3,77.89
548,USA,Graduate Degree,M,Golden,5,150,3,82.98
551,USA,Partial High School,M,Normal,2,157,4,107.77
552,USA,Graduate Degree,F,Bronze,4,28,3,58.26
553,USA,Partial High School,F,Normal,0,236,3,114.98
554,USA,Bachelors Degree,F,Bronze,2,27,3,76.16
557,USA,Partial High School,F,Normal,4,118,2,39.02
558,USA,Bachelors Degree,F,Bronze,0,10,4,76.15
560,USA,Graduate Degree,M,Bronze,0,129,2,57.52
563,USA,Bachelors Degree,F,Silver,4,126,2,52.53
565,USA,Bachelors Degree,M,Bronze,4,29,3,110.48
566,USA,Partial High School,M,Normal,5,37,2,12.19
569,USA,Partial College,F,Golden,1,5,6,174.79
570,USA,High School Degree,M,Bronze,1,224,2,58.75
571,USA,Bachelors Degree,F,Bronze,1,47,6,145.21
573,USA,Partial High School,M,Normal,2,10,4,72.37
575,USA,Bachelors Degree,F,Golden,5,332,1,15.54
577,USA,High School Degree,M,Bronze,1,14,2,43.15
578,USA,Partial High School,M,Bronze,0,211,2,25.31
581,USA,Partial College,M,Bronze,0,273,1,27.56
582,USA,Partial College,M,Bronze,0,219,2,33.42
584,USA,Bachelors Degree,M,Bronze,4,304,1,1.02
587,USA,Partial College,M,Bronze,2,11,5,154.37
588,USA,High School Degree,M,Golden,4,5,8,261.31
591,USA,Partial High School,M,Normal,3,78,2,91.7
593,USA,Partial College,M,Golden,3,71,3,55.52
594,USA,High School Degree,F,Silver,0,249,2,32.97
595,USA,Bachelors Degree,M,Bronze,4,91,2,62.32
596,USA,High School Degree,M,Bronze,5,60,1,11.62
598,USA,Partial High School,M,Silver,0,19,4,65.29
599,USA,Partial High School,F,Golden,4,83,2,26.7
600,USA,Partial High School,F,Normal,2,55,1,17
601,USA,High School Degree,M,Bronze,4,66,3,76.26
602,USA,Bachelors Degree,F,Bronze,3,79,6,155.07
603,USA,High School Degree,M,Bronze,1,12,2,44.67
604,USA,Bachelors Degree,F,Bronze,2,183,3,32.1
605,USA,Bachelors Degree,F,Bronze,3,320,1,26.34
611,USA,Partial College,F,Silver,3,272,2,57.69
612,USA,High School Degree,F,Normal,3,84,6,100.08
614,USA,Bachelors Degree,M,Bronze,2,8,8,165.77
617,USA,High School Degree,F,Normal,3,8,5,102.74
619,USA,Bachelors Degree,M,Bronze,2,10,11,340.22
620,USA,Bachelors Degree,M,Silver,2,105,1,10.41
621,USA,Partial High School,M,Normal,2,21,3,80.8
623,USA,Partial College,F,Bronze,1,292,1,19.7
624,USA,Partial High School,F,Normal,3,9,4,109.37
625,USA,Graduate Degree,M,Bronze,1,14,11,320.77
629,USA,Partial High School,M,Normal,4,272,1,38.51
630,USA,Bachelors Degree,F,Bronze,4,14,3,78.35
635,USA,Bachelors Degree,M,Golden,4,333,1,12.78
636,USA,High School Degree,M,Bronze,1,8,8,184.42
638,USA,High School Degree,M,Bronze,3,16,8,220.87
641,USA,Bachelors Degree,F,Bronze,4,168,1,23.78
642,USA,Bachelors Degree,F,Normal,3,351,1,16.05
644,USA,High School Degree,F,Bronze,4,91,8,286.48
645,USA,High School Degree,M,Bronze,1,28,4,93.37
647,USA,High School Degree,M,Bronze,5,4,15,460.93
650,USA,Bachelors Degree,M,Bronze,1,77,3,72.62
651,USA,High School Degree,M,Normal,2,356,1,49.76
652,USA,High School Degree,M,Normal,3,287,1,32.34
653,USA,Partial High School,F,Normal,1,36,2,56.5
654,USA,High School Degree,F,Bronze,3,21,1,38.6
657,USA,Partial High School,F,Normal,4,16,3,54.28
658,USA,High School Degree,M,Bronze,3,230,2,58.54
660,USA,Partial College,F,Bronze,1,208,1,43.3
661,USA,Bachelors Degree,M,Normal,0,139,2,31.5
662,USA,Partial College,F,Bronze,3,35,3,43.87
663,USA,Bachelors Degree,F,Bronze,3,6,15,412.05
664,USA,Bachelors Degree,F,Silver,2,286,2,61.62
665,USA,Bachelors Degree,F,Bronze,4,105,5,65.05
666,USA,Bachelors Degree,F,Bronze,1,5,5,141.83
669,USA,Partial High School,F,Bronze,2,31,1,43.49
672,USA,Partial High School,F,Bronze,2,133,2,45.11
673,USA,High School Degree,F,Bronze,1,16,3,74.52
676,USA,High School Degree,M,Bronze,5,113,3,67.75
679,USA,High School Degree,M,Normal,1,257,2,58.42
682,USA,Bachelors Degree,F,Bronze,2,13,4,97.82
685,USA,Partial High School,F,Normal,1,225,3,86.65
688,USA,High School Degree,M,Bronze,1,238,1,18.47
689,USA,Partial College,M,Bronze,4,48,2,31.63
690,USA,Partial High School,F,Silver,5,192,2,80.71
692,USA,High School Degree,F,Bronze,3,324,1,33.73
693,USA,Partial High School,M,Normal,5,168,1,65.23
694,USA,High School Degree,M,Normal,5,36,2,65.37
697,USA,Partial College,F,Bronze,2,4,5,139.31
699,USA,Partial High School,F,Normal,3,21,1,31.62
702,USA,High School Degree,M,Silver,3,25,2,91.02
705,USA,Partial College,F,Bronze,2,28,7,236.21
706,USA,Partial High School,M,Normal,2,200,1,34.09
707,USA,High School Degree,F,Golden,1,315,1,0.96
709,USA,Graduate Degree,F,Bronze,3,49,6,186.09
710,USA,Bachelors Degree,F,Silver,2,9,2,55.11
711,USA,Partial High School,F,Bronze,2,7,7,178.58
712,USA,Bachelors Degree,F,Bronze,2,328,1,8.16
714,USA,Bachelors Degree,M,Bronze,4,33,1,22.53
717,USA,Partial High School,M,Silver,4,137,2,62.66
718,USA,High School Degree,F,Bronze,4,292,1,13.89
719,USA,Bachelors Degree,F,Golden,0,292,2,29.59
720,USA,High School Degree,F,Silver,0,349,1,45.65
722,USA,Partial High School,M,Normal,4,328,2,76.58
723,USA,Partial College,F,Silver,1,120,3,71.2
726,USA,High School Degree,F,Bronze,4,219,2,75.86
727,USA,Partial High School,F,Golden,3,28,2,35.35
729,USA,Bachelors Degree,F,Golden,3,21,1,62.28
730,USA,Partial High School,F,Bronze,5,272,3,121.82
733,USA,High School Degree,M,Bronze,0,108,3,90.62
734,USA,High School Degree,M,Bronze,3,69,4,86.78
736,USA,Bachelors Degree,M,Bronze,1,53,1,11.28
739,USA,Bachelors Degree,M,Silver,4,5,9,344.92
740,USA,Partial High School,M,Bronze,5,212,2,39.42
741,USA,High School Degree,M,Silver,2,110,2,60.15
742,USA,Bachelors Degree,F,Golden,4,200,1,51.52
745,USA,High School Degree,F,Golden,5,16,3,77.52
746,USA,Bachelors Degree,M,Normal,0,165,2,49.7
747,USA,Bachelors Degree,M,Bronze,4,85,2,77.26
748,USA,Graduate Degree,F,Bronze,3,110,2,27.51
750,USA,High School Degree,M,Bronze,3,4,8,232.96
751,USA,Partial High School,F,Normal,3,193,2,73.17
753,USA,Bachelors Degree,F,Bronze,1,47,7,166.34
754,USA,High School Degree,F,Bronze,3,23,10,300.73
755,USA,High School Degree,F,Bronze,3,30,2,49.84
757,USA,Partial High School,M,Normal,4,90,3,138.7
758,USA,Bachelors Degree,M,Bronze,4,231,4,51.31
760,USA,Bachelors Degree,F,Silver,0,5,14,384.24
763,USA,Bachelors Degree,F,Bronze,2,159,3,65.06
764,USA,High School Degree,M,Silver,0,184,2,68.35
766,USA,High School Degree,M,Bronze,4,16,1,28.3
768,USA,Partial College,M,Bronze,2,71,1,30.56
769,USA,High School Degree,F,Bronze,4,6,21,732.23
770,USA,Bachelors Degree,F,Normal,3,72,5,113.51
771,USA,Bachelors Degree,M,Bronze,3,90,4,87.71
774,USA,Partial College,M,Bronze,1,27,2,71.71
776,USA,Partial High School,F,Normal,5,54,1,67.86
778,USA,Partial College,M,Bronze,2,29,4,117.63
779,USA,High School Degree,F,Golden,2,77,1,31.49
780,USA,Graduate Degree,M,Golden,5,158,6,210.23
781,USA,Bachelors Degree,F,Normal,2,168,2,59.42
782,USA,Bachelors Degree,M,Golden,5,72,4,140.61
783,USA,High School Degree,M,Bronze,1,36,2,57.56
785,USA,Partial High School,M,Normal,1,35,2,51.96
786,USA,Partial College,F,Bronze,0,320,1,8.32
788,USA,Graduate Degree,M,Bronze,5,96,3,52.32
790,USA,Partial College,M,Bronze,2,21,5,156.47
792,USA,High School Degree,M,Golden,3,115,3,125.43
795,USA,High School Degree,F,Golden,5,28,1,18.36
796,USA,High School Degree,M,Bronze,4,5,1,18.84
797,USA,Partial High School,M,Normal,5,3,2,72.18
801,USA,Graduate Degree,M,Bronze,0,22,2,76.76
803,USA,Partial High School,F,Normal,2,28,3,87.02
805,USA,Bachelors Degree,F,Bronze,0,115,2,27.65
806,USA,High School Degree,M,Bronze,2,25,7,209.48
808,USA,Bachelors Degree,M,Bronze,1,66,2,44.15
813,USA,High School Degree,F,Golden,3,10,3,157.13
816,USA,Partial High School,F,Normal,4,126,1,39.92
817,USA,Bachelors Degree,F,Bronze,2,79,8,205.1
819,USA,High School Degree,M,Bronze,2,18,10,268.71
820,USA,Partial High School,M,Bronze,5,25,2,48.55
823,USA,Partial College,M,Bronze,3,54,6,132.1
827,USA,Partial College,M,Bronze,0,272,1,26.45
829,USA,High School Degree,F,Bronze,4,12,1,19.14
830,USA,High School Degree,M,Bronze,4,26,4,107.38
831,USA,Partial High School,M,Normal,2,60,2,28.61
834,USA,High School Degree,M,Bronze,2,108,1,43.56
837,USA,Partial High School,F,Normal,4,28,3,62.06
839,USA,Partial High School,F,Normal,3,225,2,43.35
840,USA,High School Degree,M,Bronze,3,254,1,42.66
841,USA,Partial College,M,Bronze,1,40,1,16.25
842,USA,Partial High School,F,Normal,5,35,1,24.39
845,USA,Partial High School,M,Golden,3,22,4,104.07
846,USA,Partial High School,F,Bronze,3,211,2,56
847,USA,Bachelors Degree,F,Bronze,4,66,3,53.76
849,USA,Partial High School,F,Normal,5,44,3,136.29
852,USA,Partial College,F,Bronze,2,78,1,42.95
854,USA,Graduate Degree,F,Bronze,2,301,1,8.87
856,USA,High School Degree,M,Golden,5,195,2,67.75
857,USA,Partial College,M,Silver,4,180,1,40.56
863,USA,Bachelors Degree,M,Bronze,5,11,14,343.43
864,USA,Partial High School,F,Bronze,3,48,3,74.74
868,USA,High School Degree,M,Bronze,5,28,5,120.98
870,USA,Partial High School,F,Normal,3,117,5,171.4
873,USA,Partial College,F,Bronze,4,21,5,186.7
874,USA,High School Degree,M,Bronze,1,260,2,52.73
878,USA,Partial High School,F,Normal,0,4,18,555.24
879,USA,High School Degree,M,Silver,5,66,3,86.31
880,USA,Bachelors Degree,M,Bronze,1,47,3,71.81
881,USA,Partial College,M,Silver,4,53,2,22.35
882,USA,Bachelors Degree,M,Bronze,5,5,2,61.87
886,USA,Graduate Degree,M,Silver,4,181,3,129.79
887,USA,Partial High School,F,Bronze,5,192,2,42.91
888,USA,High School Degree,M,Bronze,1,231,1,9.42
891,USA,Bachelors Degree,F,Bronze,3,12,3,76.79
892,USA,High School Degree,F,Bronze,1,19,2,71.78
893,USA,Graduate Degree,F,Golden,3,105,10,284.96
897,USA,Graduate Degree,M,Bronze,1,16,4,85.85
898,USA,Bachelors Degree,F,Bronze,0,13,1,33.54
899,USA,Partial High School,M,Normal,4,42,1,25.13
900,USA,Partial High School,F,Normal,1,100,1,31.39
901,USA,Partial High School,M,Normal,2,37,9,209.75
903,USA,High School Degree,M,Bronze,1,312,1,27.73
905,USA,Bachelors Degree,M,Bronze,4,11,10,320.48
906,USA,High School Degree,M,Bronze,1,47,3,47.09
907,USA,Partial High School,F,Golden,3,117,6,215.8
908,USA,Partial High School,F,Bronze,4,34,1,24.3
909,USA,Bachelors Degree,F,Bronze,1,55,2,60.21
910,USA,Partial College,M,Bronze,0,121,2,87.13
916,USA,Bachelors Degree,M,Bronze,3,3,6,149.18
917,USA,Partial High School,M,Bronze,2,104,2,84.29
921,USA,Bachelors Degree,M,Bronze,5,103,8,306.85
922,USA,Bachelors Degree,M,Golden,4,165,1,33.78
923,USA,Partial College,F,Silver,4,136,4,128.63
924,USA,High School Degree,M,Bronze,5,11,12,393.06
927,USA,Partial High School,M,Normal,3,3,5,180.36
928,USA,Partial High School,F,Golden,5,225,2,29.8
929,USA,High School Degree,M,Normal,5,229,1,22.92
930,USA,Bachelors Degree,F,Silver,2,181,6,165.5
934,USA,Bachelors Degree,F,Normal,0,58,3,86.89
936,USA,Partial High School,F,Bronze,2,25,2,48.44
937,USA,Partial High School,F,Normal,4,66,3,92.82
939,USA,Partial High School,M,Silver,3,66,3,105.65
940,USA,Partial High School,F,Normal,2,104,3,57.27
941,USA,Partial College,M,Bronze,1,21,9,217.19
944,USA,Partial High School,F,Normal,3,14,3,48.1
947,USA,Bachelors Degree,M,Bronze,2,53,3,116.22
949,USA,Bachelors Degree,F,Bronze,2,197,2,34.35
950,USA,High School Degree,M,Golden,4,37,11,318.42
